matricola,cognome,nome,residenza,classe,nazione,data_nascita,cap
19979,PADOVANI,GABRIELE,VERONA,5AT,Italy,25/09/2007,37131
19491,FERRAIOLI,JACOPO,SAN GIOVANNI LUPATOTO,2EI,Italy,05/12/2006,37123
19039,SINGH,ASHAN THOMAS FERNANDO,ZEVIO,1QL,Italy,18/10/2006,37019
19543,BEGALLI,LORENZO,SOMMACAMPAGNA,3ZL,Italy,11/09/2006,37132
19850,COSTANTINI,RICHIE AIMUAWOSA,BELFIORE,3DI,Romania,20/02/2006,37136
19076,BATRACH,ANDREA,BOVOLONE,3CI,Italy,23/06/2006,37062
20290,BONFANTE,LUIZA,VERONA,1DI,Italy,24/12/2003,37024
20023,FUGATTI,ASHLAN JULIAN DANTIC,BOSCO CHIESANUOVA,1PE,Peru,02/07/2007,37141
19331,LIAO,ANNALISA,VERONA,3DI,Italy,25/01/2004,37138
20386,BALAU,MICHELE,BOSCO CHIESANUOVA,3AT,China,13/04/2007,37012
18583,NOCITI,LISA,VERONA,2LE,Italy,19/03/2005,37058
20170,BELLO,FEDERICO,SANGUINETTO,2CI,Italy,30/11/2006,37017
18588,PUNZALAN,MATTEO,GREZZANA,5AL,Italy,28/08/2002,37068
19587,ORLOV,ALESSANDRO AURELIO,GARDA,3AT,Italy,29/01/2006,37051
20444,SEGA,LEONARDO,CALDIERO,3ZC,Italy,02/11/2006,37134
20485,MAGDALINA,TOMMASO,VERONA,5AE,Italy,19/05/2003,37063
19982,MASSELLA,ALESSANDRO,VERONA,4BE,Italy,03/10/2004,37054
20014,DEL FAVERO,MATTIA,SAN MARTINO BUON ALBERGO,1HL,Italy,20/12/2006,37012
20481,TOQI,JASKARAN,ZEVIO,1BI,Sri Lanka,09/11/2006,37013
18541,MARAZZITA,ERSI,OPPEANO,3AE,Italy,15/11/2004,37026
19849,ASINARI,RICCARDO,GREZZANA,3AE,Italy,12/02/2007,37057
20348,CARLI,MARCO,VERONA,2LE,Italy,11/06/2005,37138
20256,PAOLILLO,JUSTIN,VERONA,5AL,Italy,03/10/2007,37029
18548,BALZO,LORENZO,VERONA,4EI,Italy,11/11/2003,37024
18527,LAUS,DIEGO,LAVAGNO,5AT,Italy,24/08/2005,37139
20280,GRECU,SOFYAN,FUMANE,3AI,Italy,03/11/2003,37135
19185,VAONA,GIULIANO ALEXANDRU,VERONA,1GL,Italy,06/06/2003,37014
19347,RUSSO,SAMUELE,VERONA,5CI,Italy,30/09/2003,37135
19393,BURATI,ALEXANDRU,VERONA,1SE,Italy,25/01/2004,37050
19927,BONFANTI,PETER,BUSSOLENGO,2IL,Italy,05/02/2004,37139
20257,GUGLIELMI,SIMONE,ZEVIO,2AI,Hungary,07/07/2006,37059
20078,DALL'ACQUA,ALESSANDRO,ISOLA DELLA SCALA,5BI,Italy,06/11/2006,37124
19095,ARLONE,GEORGE ALEXANDRU,ROVERE' VERONESE,2NE,Italy,12/12/2007,37058
19271,SETTE,CHIARA,PESCANTINA,3GI,Italy,05/07/2005,37015
19408,BONATO,ALESSANDRO,ISOLA DELLA SCALA,2FL,Italy,04/04/2007,37063
20522,ANASTASOV,ENRICO,SONA,2DI,Italy,01/03/2007,37063
19064,NEMTANU,DANIELE,VERONA,1GL,Italy,04/01/2007,37060
20270,DI CESARE,JASMINE,VERONA,2HL,Italy,05/07/2005,37067
20016,VIVIANI,MARIO,ZEVIO,4BL,Italy,01/03/2006,37060
20055,PATHTHINIGE FERNANDO,DAVIDE,MOZZECANE,1GL,Italy,23/01/2004,37063
20179,FRANCO,ALESSANDRO,ISOLA RIZZA,1IL,Italy,17/09/2004,37068
17908,WARNAKULASURIYA FERNANDO,ADAM,BUSSOLENGO,1AI,Italy,18/04/2007,37050
20508,ZANTEDESCHI,CRISTIAN,PESCANTINA,2EI,Italy,11/07/2007,37066
19053,TRAJANOVSKI,RICCARDO SAMER,RIVOLI VERONESE,2DI,Italy,19/08/2007,37068
19257,MARRA,ALI,GREZZANA,4DI,Italy,30/04/2005,37134
20189,ZANELLA,KEVIN KAUSHALYA,VERONA,4DI,Italy,11/04/2003,37135
19335,RANDO,THOMAS,CASTEL D'AZZANO,1NE,Italy,19/10/2007,37042
20135,BIANCHI,MATTEO,LAVAGNO,4BL,Italy,22/02/2002,37057
20129,VALENTINO,MICHELE,VIGASIO,2IL,Italy,16/08/2004,37050
19403,BERTASSELLO,FILIPPO,ZEVIO,5EI,Italy,15/04/2004,37036
20320,ZHOU,ANDREA,VILLAFRANCA DI VERONA,2FL,Italy,27/06/2003,37060
19511,POLETTO,LORIS,BOVOLONE,2NE,Italy,27/09/2006,37142
19785,BOSCAINI,EDOARDO,VERONA,2OE,Italy,05/07/2003,37137
19783,MIRANDA,FRANCESCO,VERONA,3AE,Italy,21/02/2006,37019
19666,XU,EMANUELE,PESCHIERA DEL GARDA,1AI,Italy,01/03/2007,37066
19290,GIRELLI,ENRICO,VERONA,4BL,Italy,15/09/2005,37135
18171,CASAGRANDE,MICHAEL,SAN GIOVANNI LUPATOTO,1FL,Bulgaria,18/11/2004,37132
19371,LABIAD,MYRIAM,VALEGGIO SUL MINCIO,3CI,Italy,24/05/2002,37036
20267,MANZATO,ANDREA,SONA,4EI,Italy,06/12/2005,37036
18996,COLANGELO,NICOLA,VERONA,5BL,Italy,07/07/2005,37135
20311,BERTIN,MATTEO,VERONA,5EI,Italy,01/05/2003,37050
18440,MORESCHI,GIOELE,VERONA,5CI,Italy,09/01/2007,37134
18579,DI COSTE,GIACOMO,SAN GIOVANNI LUPATOTO,1AI,Italy,02/05/2005,37064
19682,DAL SANTO,GIOVANNI,VERONA,4AI,Italy,25/03/2006,37050
19174,PIGHI,ANNA,SAN GIOVANNI LUPATOTO,5EI,Venezuela,18/12/2006,37028
19821,BELLA,TIDAS PURNA,VERONA,3CI,Sri Lanka,03/08/2007,37066
19011,LOVATO,NILAKSHANA ANUHAS,VERONA,2PE,Italy,27/10/2006,37060
20361,BARBI,TOMMASO THIEN ANH,SOAVE,2HL,Italy,08/01/2004,37100
19757,TESSARI,FILIPPO,VILLAFRANCA DI VERONA,1SE,Italy,21/07/2007,37138
20234,ARTONI,GIACOMO,VERONA,3AI,Italy,20/04/2005,37139
20458,SCARDINO,RUBEN,ZEVIO,1DI,Italy,13/11/2004,37036
19518,ZUANETTI,DOMENICO,OPPEANO,4BL,Italy,09/01/2002,37035
20238,NABA,GIUSEPPE DAVID,SAN GIOVANNI LUPATOTO,4AT,Italy,28/08/2003,37021
18947,PISCITELLI,LUCA,MOZZECANE,3CI,Italy,19/12/2004,37059
19768,RUSSO,NICOLAS,VERONA,1SE,Italy,06/07/2006,37023
20449,RIZZA,DAVIDE,BUSSOLENGO,4AT,Italy,21/03/2006,37058
20259,GRANZOTTO,FEDERICO,ISOLA DELLA SCALA,1BI,Italy,25/02/2003,37014
19500,LOMBARDI,DAVIDE,AFFI,2CI,Ghana,28/02/2006,76125
19801,GUPTA,PIETRO,VALEGGIO SUL MINCIO,1ME,Italy,14/11/2005,37029
19863,MARCOLONGO,ANDREA,SOMMACAMPAGNA,1BI,Italy,01/03/2004,37013
19052,DALDOSSO,GIACOMO,VIGASIO,5AC,Sri Lanka,14/12/2004,37135
20163,GULLE',PARMEET,CASTELNUOVO DEL GARDA,2ME,Italy,28/04/2005,37026
19008,LAFIOSCA,BENIAMINO,VIGASIO,3BE,Italy,21/06/2005,37135
19943,CANTERI,GIOVANNI,VERONA,2AI,Italy,16/05/2004,37036
20514,D'ANIELLO,TOMMASO,GREZZANA,5DI,Italy,24/06/2004,37131
19523,GARONZI,MICHELE,DOLCE',1NE,Moldova,02/04/2005,37029
19177,DONA',RODRIGO,VERONA,4DI,Italy,13/02/2004,37138
18336,PACHECO BOSQUETTE,NICOLA,BARDOLINO,5CI,Italy,06/03/2007,37020
19825,SOFFIATI,ANDREA,VERONA,4BE,Italy,29/09/2004,37060
19613,LIN,MIHAIL,VERONA,5AE,Italy,22/06/2001,37020
20272,ORLANDI,GIOELE CARMELO,SAN MARTINO BUON ALBERGO,2LE,Italy,15/04/2006,37030
18734,BERSELLI,ALEX,VERONA,2CI,Italy,16/08/2004,37057
20366,DONG,NICOLA,NOGAROLE ROCCA,1BI,Italy,15/12/2005,37063
19598,AVOGARO,JACOPO,CASTELNUOVO DEL GARDA,4AT,Italy,18/11/2005,37136
19508,CORRAZZINI,ALI EKBER,LAZISE,4AT,Italy,14/12/2005,37015
19827,SPORIS,MANUELE,TREGNAGO,1AI,Italy,01/04/2007,37132
19116,LANZA,LEONARDO,MOZZECANE,1OE,Italy,30/09/2005,37029
19614,VARALTA,ANGELO RAVEN,VERONA,5AC,Italy,31/12/2004,37137
20301,PORTA,SOFIA,TORRI DEL BENACO,3BI,Italy,11/04/2005,37060
20210,CURCA,MARCO,VERONA,3DI,Italy,09/10/2006,37100
20527,BAZZANI,PATRICK,SONA,2FL,Italy,06/12/2007,37050
20237,RUSSO,ALESSANDRO,SAN MARTINO BUON ALBERGO,2NE,Italy,29/12/2006,37010
18186,IGBINEDION,TAI RICCARDO,VERONA,5BL,Italy,09/11/2007,37023
18709,RAI,LUCA,OPPEANO,3AE,Italy,18/08/2007,37026
20421,MARCOLINI,RICCARDO,CAPRINO VERONESE,1IL,Italy,13/07/2006,37137
19907,REMELLI,CRISTIAN,LAZISE,1HL,Italy,19/09/2003,37023
20517,MENEGHINI,MATTEO,SAN MARTINO BUON ALBERGO,5BI,Italy,16/08/2006,37136
20406,CASCONE,PIETRO,CERRO VERONESE,3AT,Italy,26/04/2003,37068
18313,RASITI,ZENULA,VALEGGIO SUL MINCIO,5AC,Italy,07/07/2005,37138
19432,MOLESINI,THILINA SAMUELE,CAVAION VERONESE,3FI,Italy,19/07/2006,37060
18903,ZUCCHELLI,RICCARDO,SOMMACAMPAGNA,5EI,Italy,07/03/2004,37050
19572,OBENG,MATTIA,SAN GIOVANNI LUPATOTO,1NE,Italy,17/03/2007,37067
18684,BOSCO,OLIVER THOMAS,VERONA,1CI,Romania,04/04/2005,37030
19885,BIBI,ALBERTO,SAN MARTINO BUON ALBERGO,3AC,Italy,08/01/2002,37066
19780,CESARO,FILIPPO,VERONA,4BL,Italy,23/09/2007,37067
20318,GALLINA,MANUEL,VERONA,4AL,Italy,19/06/2004,37010
18529,RIGHETTI,CRISTIANO,MARANO DI VALPOLICELLA,3AL,Italy,03/06/2007,37132
19778,SOARDO,DENIS GABRIEL,CAPRINO VERONESE,2OE,Italy,27/12/2004,37026
19498,BOVI,SEVSEN,NEGRAR,3DI,Italy,06/08/2003,37123
18453,GRASSI,DAVIDE,VERONA,3FI,Italy,23/09/2007,37055
19830,BON,MICHELE,LAVAGNO,2EI,Albania,13/02/2007,37023
20352,GAOLE,RICCARDO,BUSSOLENGO,4BL,Romania,17/04/2004,37138
19149,COMPRI,DANIELE,VERONA,3BL,Italy,23/06/2006,37138
18717,FIOCCO,FILIPPO,LAVAGNO,2BI,Romania,01/11/2006,37139
19664,MINOZZI,MATTEO,VIGASIO,3DI,Italy,18/05/2006,37135
19388,MUNARI,ALESSANDRO,ISOLA RIZZA,1ME,Italy,23/11/2003,37136
20397,BRESCIANI,SMITH OGHOSA,CAVAION VERONESE,1EI,Italy,08/03/2005,37035
20416,BERGAMINI,FEDERICO,PESCANTINA,4EI,Moldova,29/02/2004,37139
20202,MALAGNINI,DANILO,VIGASIO,3BI,Italy,14/11/2007,37132
20341,PERNIGOTTI,MIGUEL ANGEL,SANT'AMBROGIO DI VALPOLICELLA,3AC,Italy,04/05/2006,37060
17730,MORELLATO,MATTEO,SONA,4AC,Italy,30/06/2004,37012
18681,ARRIGHINI,CRISTIAN,VILLAFRANCA DI VERONA,3CI,Italy,10/01/2007,37012
19510,CELLA,KEVIN,VILLAFRANCA DI VERONA,2LE,Moldova,09/11/2004,37139
20224,BERNARDI,MATTEO,BUTTAPIETRA,1ME,Romania,31/01/2002,37026
19343,NDOKAJ,TOMMASO,FUMANE,3AC,Italy,08/02/2002,37036
19277,BELLAMOLI,LEONARDO,MOZZECANE,2ME,Italy,23/12/2002,37020
20201,LABRACH,ANDREI,VERONA,5AT,Italy,18/11/2006,37026
19145,CIMPANU,GIORGIO,NEGRAR,4DI,Italy,20/11/2007,37136
20422,POLLINZI,SIMONE,VERONA,4CI,Italy,11/11/2004,37019
19167,PLATANO,JACOPO,VERONA,1EI,Italy,28/06/2005,37060
18223,GIRELLI,GIACOMO,VERONA,1EI,Italy,24/06/2004,37026
20342,CHIUMMARIELLO,ALESSANDRO,VERONA,3BI,Italy,18/01/2003,37038
20102,TORRES PINEDA,EDOARDO,SAN GIOVANNI LUPATOTO,3BE,Italy,01/02/2004,37010
18515,ARDELEAN,GIOVANNI,VERONA,5BI,Italy,12/04/2006,37132
19716,GRISO,GABRIELE,CASTEL D'AZZANO,3CI,Italy,04/11/2003,37060
19985,STANCHINA,ANDREA,PESCHIERA DEL GARDA,3CI,Italy,23/10/2006,37030
19641,GURAU,IONELA,VERONA,5AE,Italy,11/04/2005,37139
20212,ZAYANE,LORENZO,CAPRINO VERONESE,4AI,Italy,21/11/2006,37066
19158,LUCCHINI,GIOVANNI,VERONA,4BL,Italy,18/06/2007,37029
19334,PERRONE,GASPARE,PESCHIERA DEL GARDA,5CI,Romania,18/10/2004,37141
19495,BALASCA,FEDERICO,CASTEL D'AZZANO,3BL,Italy,27/12/2004,37024
19610,GRIGOLI,DIEGO,BOVOLONE,1FL,Italy,20/11/2002,37036
20250,TABARCEA,ENRICO MIHAI,BOVOLONE,1LE,Italy,31/03/2006,37060
19102,RUCCO,CHILIANO,ISOLA DELLA SCALA,2OE,Italy,18/07/2007,37030
19762,FILIPPINI,YOUSSEF,BADIA CALAVENA,1FL,Romania,19/03/2006,37026
19802,MEGA,ALEXANDRU,GREZZANA,5AC,Italy,08/10/2007,37057
18642,D'INCERTO SPINA,ROBERTO MARIAN,SOMMACAMPAGNA,3AL,Italy,25/09/2004,37011
20058,GAMBINI,CAMILLA ANDREA,VERONA,1OE,Moldova,08/03/2002,37030
19416,BENEDETTI,CRISTIAN,VERONA,3CI,Italy,10/10/2003,37141
18412,OSAHON,JACOPO,ZEVIO,4AT,Romania,27/09/2007,37138
19889,CARNERI,ANDREA,ROVERE' VERONESE,1FL,Italy,19/12/2005,37068
18936,ZUMERLE,ALESSANDRO,CASTELNUOVO DEL GARDA,5CI,Italy,18/03/2004,37040
19427,FATTORI,MATTHEW,CASTELNUOVO DEL GARDA,1OE,Italy,25/02/2006,37028
20347,MENEGOI,ANDREW,VERONA,1PE,Italy,21/06/2003,37057
19547,DAVID,ALICE,CAVAION VERONESE,4BI,Ghana,26/06/2004,37012
19730,CAPATINA,MICHELANGELO,CALDIERO,3EI,Morocco,01/09/2007,37138
18722,PESARESI,FRANCESCO,VALEGGIO SUL MINCIO,1IL,Italy,30/03/2007,37057
18630,CAMPARSI,DANIELE,CASTELNUOVO DEL GARDA,1EI,China,14/10/2003,37010
18989,BONOMI,MIRKO,SONA,2NE,Moldova,21/07/2006,37068
19056,SABAINI,CHRISTIAN,CASTELNUOVO DEL GARDA,2CI,Italy,10/10/2006,37019
18208,IPPOLITO,NIMASH LUCA,ISOLA DELLA SCALA,3BE,Italy,08/07/2005,37139
20219,FARRUGGIO,THOMAS,PESCANTINA,4BI,Italy,29/09/2003,37138
19487,LAVERSA,LUCA,BUSSOLENGO,1LE,Italy,29/04/2004,37135
19566,TOSI,AMARILDO,LAVAGNO,1BI,Italy,19/06/2002,37050
18536,MONASTERO,CRISTIAN,NEGRAR,3DI,Italy,12/04/2005,37010
19832,STIRBU,DANIELE,SAN MARTINO BUON ALBERGO,1PE,Romania,19/01/2004,37131
18980,EMANUELLI,YASSINE,BUTTAPIETRA,2NE,Italy,17/09/2006,37122
19856,PIGHI,MICHELE,FUMANE,3DI,Italy,13/06/2006,37012
19973,CUCU,LUCA,VERONA,2LE,Italy,25/10/2006,37020
19405,POLACCO,SIMONE,BUSSOLENGO,1GL,Italy,22/07/2006,37132
20492,BONIZZI,DANIEL,GREZZANA,5CI,Nigeria,16/04/2003,37139
20218,PIACENTINI,ACHRAF,VILLAFRANCA DI VERONA,5BI,Italy,21/03/2005,37062
19602,MADONNA,RICCARDO,NOGAROLE ROCCA,3AI,Italy,12/08/2006,37057
20437,TOSCHI,DMYTRO,SOMMACAMPAGNA,5DI,Italy,20/03/2003,46040
20297,KACHAR,FABIO,SOMMACAMPAGNA,3ZL,Italy,04/05/2007,37057
19109,SAADOUNI,LUCIO,VERONA,1CI,Italy,09/06/2003,37038
19879,GIURIATO,DIEGO,OPPEANO,1GL,Italy,10/04/2003,37041
19936,LONARDI,LEONARDO,NOGARA,4CI,Italy,24/06/2003,37057
18900,LISCI,DAVIDE,SAN GIOVANNI LUPATOTO,2BI,Italy,24/11/2005,37017
